id,combo,query
0,"(A1,B1,C1,D1)",Как быстро приготовить винегрет классический?
1,"(A1,B1,C1,D1)","Подскажи рецепт рагу овощного летнего."
4,"(A1,B1,C1,D1)",Как приготовить биточки рисовые в течение получаса?
5,"(A1,B1,C1,D1)",Как приготовить каша манная с ягодами за 30 минут?
6,"(A1,B1,C1,D1)",Как приготовить каша ячневая молочная за полчаса?
7,"(A1,B1,C1,D1)",Как приготовить суп грибной из сушёных грибов?
8,"(A1,B1,C1,D1)",Как приготовить щи зеленые со щавелем?
9,"(A1,B1,C1,D1)",Как приготовить салат гранатовый браслет?
10,"(A1,B1,C1,D1)",Как приготовить кисель ягодный?
11,"(A1,B1,C1,D1)",Как приготовить морс клюквенный без добавления сахара?
14,"(A1,B1,C1,D1)",Как приготовить рагу овощное летнее в миске?
15,"(A1,B1,C1,D1)",Как приготовить биточки рисовые в стакане?
16,"(A1,B1,C1,D2)",Как приготовить классический бефстроганов из говядины?
17,"(A1,B1,C1,D2)","Подскажи рецепт борща классического с говядиной, который можно приготовить за полчаса."
18,"(A1,B1,C1,D2)",Как сварить ягодный кисель?
19,"(A1,B1,C1,D2)","Как сделать биточки рисовые, используя кастрюлю?"
20,"(A1,B1,C1,D2)",Как приготовить блины с мясной начинкой?
21,"(A1,B1,C1,D2)",Как испечь пирог с капустой и яйцом?
22,"(A1,B1,C1,D2)","Как приготовить домашние пельмени с курицей, сколько времени потребуется?"
23,"(A1,B1,C1,D2)",Как приготовить борщ классический с курицей?
24,"(A1,B1,C1,D2)","Как приготовить классический оливье с говядиной, используя только нож и миску?"
25,"(A1,B1,C1,D2)",Как приготовить классические блины на молоке?
27,"(A1,B1,C1,D2)",Как сделать картофельные драники классические?
28,"(A1,B1,C1,D2)",Как приготовить гречневую кашу с грибами в кастрюле?
29,"(A1,B1,C1,D2)",Как приготовить грибной жульен?
30,"(A1,B1,C1,D2)","Как приготовить холодец из свиных ножек, сколько времени займет готовка?"
31,"(A1,B1,C1,D2)",Как приготовить картофельную запеканку с мясом?
32,"(A1,B1,C1,D2)",Как приготовить манную кашу с ягодами?
34,"(A1,B1,C1,D2)",Как приготовить оладьи на кефире?
